px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-23.6154	6.30737	4.74783	0.742143	-0.495538	-23.6471	6.29102	-23.5377	6.41227	3.52148	3.50357	0.0732703
-23.4678	6.47643	4.70178	0.736309	-0.462584	-23.7544	6.53746	-23.3598	6.58559	3.59775	3.4324	1.75755
-23.2379	6.71213	4.87555	0.72296	-0.448033	-23.0099	6.86182	-23.1781	6.75533	3.67185	3.36041	4.38688
-23.0437	6.85145	4.84158	0.696254	-0.446331	-22.7862	5.74143	-22.9928	6.92146	3.74376	3.28768	5.54087
-22.8283	7.0283	4.90644	0.674328	-0.444512	-22.6991	7.063	-22.804	7.08393	3.8135	3.21431	0.993942
-22.6161	7.16426	4.92316	0.638743	-0.465134	-22.418	6.76159	-22.6117	7.24273	3.88106	3.14038	1.51929
-22.4321	7.30711	4.90353	0.618414	-0.462449	-22.5083	7.31524	-22.4161	7.39782	3.94647	3.06598	0.311612
-22.2007	7.43885	4.98896	0.572371	-0.508057	-22.0543	7.85452	-22.2173	7.54917	4.00974	2.99118	2.45581
-22.0189	7.60048	4.9913	0.562923	-0.491046	-22.1947	7.69478	-22.0154	7.69679	4.07087	2.91607	2.11916
-21.8348	7.77186	4.95179	0.569956	-0.437631	-21.6178	9.0351	-21.8105	7.84064	4.12989	2.84074	5.7899
-21.6273	7.91354	4.96206	0.552033	-0.433173	-21.6473	7.94	-21.6026	7.98072	4.18681	2.76526	0.0628755
-21.4378	8.04625	4.91985	0.540646	-0.416054	-21.8637	7.78661	-21.392	8.11703	4.24166	2.68971	1.66554
-21.2177	8.07377	4.8131	0.484345	-0.456217	-21.0853	7.83229	-21.1787	8.24957	4.29447	2.61417	4.45998
-21.0281	8.22285	4.74433	0.495273	-0.394972	-20.5503	9.28616	-20.9628	8.37833	4.34526	2.53871	6.18816
-20.8501	8.37583	4.75083	0.496399	-0.372314	-21.0519	8.50983	-20.7444	8.50333	4.39406	2.46341	3.14292
-20.6068	8.48996	4.84099	0.464611	-0.398868	-19.9265	9.40847	-20.5237	8.62457	4.4409	2.38835	4.50796
-20.3536	8.63371	4.93149	0.452613	-0.388469	-20.21	8.68914	-20.3006	8.74206	4.48582	2.31358	1.3746
-20.157	8.76178	4.86125	0.457685	-0.343534	-20.2277	8.8532	-20.0753	8.85583	4.52884	2.23919	1.82954
-19.9603	8.86062	4.82343	0.441336	-0.343363	-20.0633	8.86724	-19.848	8.96589	4.57001	2.16524	0.571567
-19.7639	8.97466	4.75829	0.442039	-0.309437	-19.9264	8.78179	-19.6186	9.07227	4.60937	2.09179	1.32293
-19.5434	9.04596	4.73535	0.414788	-0.322555	-19.4861	8.96665	-19.3873	9.17499	4.64694	2.01891	0.540052
-19.3017	9.15488	4.80574	0.39725	-0.329066	-18.5719	10.2069	-19.1542	9.27409	4.68278	1.94666	4.56617
